strategy,algorithm,keygen_time,symmetric_enc_time,key_enc_time,total_enc_time,storage_overhead_bytes,storage_overhead_percent,kem_encap_time
classical,RSA-2048,0.05420398712158203,0.0029168128967285156,0.0002720355987548828,0.0031888484954833984,284,15.777777777777779,
postquantum,Kyber768,0.0006830692291259766,2.5272369384765625e-05,,4.839897155761719e-05,1116,62.000000000000014,2.3126602172851562e-05
hybrid,ECDH+Kyber768,1.1920928955078125e-05,2.288818359375e-05,,3.600120544433594e-05,1116,62.000000000000014,1.3113021850585938e-05
